,stop_id1,stop_id2,distance,latitude1,longitude1,latitude2,longitude2
835,8591826,8590787,20.172193807970416,47.357094,8.627968,47.401093,8.449222
836,8591828,8591290,12.91045625433907,47.35139,8.641003,47.40354,8.530528
837,8591832,8503016:0:3,9.014359236240008,47.362698,8.617547,47.450386,8.5624
838,8591832,8576196,7.542093441436084,47.362698,8.617547,47.363186,8.549796
839,8591903,8591383,8.478622549046037,47.34835,8.596042,47.41662,8.535486
840,8594187,8596007,16.684898597133145,47.415264,8.593653,47.397816,8.444236
841,8594190,8595717,10.640114181755015,47.41364,8.59695,47.31295,8.530051
842,8594249,8503200P,9.567756476342442,47.36196,8.630115,47.32443,8.5480175
843,8594249,8591903,3.929437433220083,47.36196,8.630115,47.34835,8.596042
844,8594252,8503003P,3.2096152418294097,47.32619,8.539439,47.36661,8.548485
845,8594253,8591833,11.790687144276001,47.32921,8.538145,47.413166,8.448754
846,8594261,8503055,15.366542449435617,47.40139,8.601854,47.365925,8.46592
847,8594261,8591328,13.893801004202242,47.40139,8.601854,47.413452,8.477311
848,8594338,8590471,15.070180088612778,47.416103,8.634553,47.32079,8.515589
849,8595074,8503309:0,4.358289248462652,47.42554,8.608196,47.442287,8.570719
850,8595075,8503690,15.486372307729773,47.417225,8.614951,47.32714,8.489951
851,8595077,8590474,12.597430672491349,47.42457,8.611861,47.31308,8.527644
852,8595077,8590766,9.312195260538216,47.42457,8.611861,47.451965,8.530285
853,8595080,8503000:0:17,8.885852575599436,47.42263,8.614142,47.378178,8.540212
854,8595128,8580434,3.667166218128801,47.428318,8.616587,47.45211,8.58784
855,8595128,Parent8503101,9.158509168787855,47.428318,8.616587,47.319157,8.580636
856,8595710,8579495,10.69986073248681,47.44826,8.535909,47.344315,8.470502
857,8595710,8590754,7.705111610291291,47.44826,8.535909,47.434494,8.467322
858,8595710,8591227,5.708932838183647,47.44826,8.535909,47.374508,8.524266
859,8595711,8503099:0:1,10.83482510578425,47.44682,8.525542,47.30329,8.525165
860,8595713,8590477,9.344588368266285,47.448837,8.527132,47.325138,8.531148
861,8595717,8503128:0:3,12.293876910847802,47.31295,8.530051,47.40008,8.623423
862,8596005,8579453,16.663187356052905,47.360893,8.623476,47.341667,8.474356
863,8596005,8590844,22.35625639517849,47.360893,8.623476,47.377804,8.422973
864,8596007,8503311:0,10.72598140688382,47.397816,8.444236,47.454067,8.532764
865,8596007,8591236,7.242873526866667,47.397816,8.444236,47.377804,8.507873
866,8596007,8591397,12.8913826569979,47.397816,8.444236,47.37909,8.559345
867,8596008,8580912,3.647725852683341,47.394146,8.473889,47.368904,8.501844
868,8596008,8591118,4.639473627934801,47.394146,8.473889,47.415703,8.51293
869,8596113,8590754,15.060048559196506,47.399006,8.600462,47.434494,8.467322
870,8596113,8591163,12.692814244755226,47.399006,8.600462,47.37189,8.487929
871,8596126,8588737,8.20556542922449,47.381065,8.537301,47.45487,8.59155
872,8596126,8594186,7.1211260127379745,47.381065,8.537301,47.41546,8.596887
873,Parent8502221,8587976,18.178834615205247,47.35743,8.437552,47.30763,8.597326
874,Parent8502222,8591419,8.12155212731517,47.325905,8.468194,47.399166,8.521707
