,allstops.stop_id,allstops.stop_name,allstops.latitude,allstops.longitude,allstops.location_type,allstops.parent_station,center_dist
32753,8581276,"Wilen bei Wollerau, Obereulen",47.197384,8.738281,,,25.060205160467163
32754,8581277,"Wilen bei Wollerau, Bahnhof",47.197544,8.73431,,,24.86860352249234
32755,8581278,"Wilen bei Wollerau, Schlyffi",47.197292,8.730124,,,24.707112752263573
32756,8581279,"Wollerau, Bahnhof",47.19543,8.724483,,,24.63405511549762
32757,8581280,"Wollerau, Sonnenberg",47.192142,8.718492,,,24.688443405209224
32758,8581281,"Wollerau, Untere Sihlegg",47.19006,8.704441,,,24.327410471331888
32768,8581294,"Windisch, Kunzareal",47.48231,8.231353,,,26.006849804712886
32777,8581308,"Bremgarten AG, Meyerhof",47.34718,8.340166,,,15.467879328295547
32798,8581346,"Oberwil-Lieli, Bündtenmättli",47.339596,8.38289,,,12.611361169556023
32856,8581417,"Wädenswil, Campus Grüental",47.218468,8.677555,,,20.574225147587093
32926,8581527,"Hünikon (Neftenbach), Vontobel",47.553017,8.656822,,,21.356614590902815
32931,8581532,"Hettlingen, Bahnhof",47.545624,8.695099,,,21.99558445628783
32933,8581534,"Baar, Kreuzplatz",47.195198,8.526207,,,20.396382268135135
32934,8581535,"Flaach, Unterdorf",47.57456,8.603192,,,22.371118072160517
32935,8581536,"Dägerlen, Oberwil",47.572277,8.716838,,,25.380595222469672
32936,8581537,"Dägerlen, Berg",47.56375,8.733224,,,25.268087515768805
32937,8581538,"Uster, Seeweg",47.346138,8.6965275,,,12.31255069615357
32938,8581539,"Uster, Apothekerstrasse",47.346176,8.715069,,,13.655197293972494
32939,8581540,"Uster, Wildsbergstrasse",47.351223,8.699644,,,12.388452072308365
32940,8581541,"Uster, Jungholz",47.350376,8.696438,,,12.177737810993309
32941,8581542,"Uster, Burgstrasse",47.343052,8.720045,,,14.110031043471425
32942,8581543,"Uster, Krone",47.341125,8.725669,,,14.577083050791613
32943,8581544,"Uster, Bildungszentrum",47.347515,8.709607,,,13.2188903138734
32944,8581545,"Uster, Jugendhaus",47.350048,8.712437,,,13.356190354608197
32945,8581546,"Uster, Nossikon",47.340126,8.729549,,,14.88909341806449
32946,8581547,"Uster, Herracher",47.340088,8.735218,,,15.300423161495166
32947,8581548,"Uster, Poststrasse",47.349117,8.717,,,13.714878150490943
32959,8581563,"Muri AG, Luzernstrasse",47.271408,8.342906,,,19.037522763428438
32960,8581564,"Fehraltorf, Undermüli",47.3918,8.741991,,,15.287147747722198
32965,8581570,"Stilli, Aarebrücke",47.514545,8.231658,,,27.7732968619812
32966,8581572,"Wädenswil, Rötiboden",47.22701,8.664008,,,19.242838402597336
32967,8581573,"Wädenswil, Hallenbad/Frohmatt",47.229164,8.661017,,,18.923965862609446
32979,8581585,"Pfäffikon ZH, Frohwies",47.368237,8.781517,,,18.224860029077323
33002,8581611,"Elgg, Städtli",47.491405,8.866515,,,27.6397593790488
33003,8581612,"Elgg, Obergasse",47.48958,8.868608,,,27.688678925599447
33004,8581613,"Elgg, Bahnhof",47.49846,8.863389,,,27.799890889633332
33014,8581623,"Hägglingen, Altersheim",47.387154,8.257592,,,21.32600130589836
33015,8581624,"Hägglingen, Huematten",47.38862,8.258167,,,21.2909918783338
33025,8581639,"Schneisingen, Oberdorf",47.522552,8.357925,,,21.144083980186704
33026,8581641,"Wohlen AG, Schützenmatt",47.35735,8.2721815,,,20.335404983672266
33038,8581658,"Geltwil, Dorf",47.24942,8.323277,,,21.74398832766033
33043,8581666,"Bonstetten, Lätten",47.3189,8.455788,,,9.166412657898421
33046,8581669,"Muri AG, Kreisel",47.273678,8.341441,,,18.967897461043247
33047,8581670,"Muri AG, im Roos",47.271202,8.32802,,,19.940092205923065
33049,8581673,"Niederweningen, Dorf",47.507633,8.379089,,,18.84553063478258
