,index,0-20,20-40,40-60,60-80,80-100,100-120,120-140,140-160,160-180,180-200
52,Sat - zug 9h-16h,0.39088081484772874,0.5635916190997027,0.7185972587756776,0.8255460231739413,0.8925727176402228,0.9346139385446218,0.9627781385651297,0.9799706053252213,0.9918651946542708,1.0
53,Sat - zug 16-21h,0.37284324747055086,0.5433794418104502,0.6967104941590498,0.804682535803314,0.8754093552959578,0.9229190087492057,0.9538100591426756,0.9730680873943008,0.9885136125910358,1.0
54,Sun - bus 6h-9h,0.26970902953063786,0.43654861638044506,0.6248509531257259,0.7608901001904703,0.8675689486969045,0.9229911578425756,0.9602954612323273,0.9802251575638385,0.9918856558836737,1.0
55,Sun - bus 9h-16h,0.2046663259898554,0.3473578620637444,0.5192766295707473,0.6605155575743811,0.7824116132939662,0.860440797940798,0.9173290937996821,0.9564170262699675,0.9822327579680521,1.0
56,Sun - bus 16-21h,0.1981749939740367,0.3373644158259013,0.5039977962191384,0.6412864570779243,0.7625219517234255,0.8429875004304259,0.9052787438449089,0.9495471919011054,0.9792018181192108,1.0
57,Sun - tram 6h-9h,0.4587220655239748,0.6477543935777826,0.8193208939032328,0.8997070948144934,0.9512367107832501,0.9735300499023649,0.9873616836623996,0.9941961379908874,0.9976133651551312,1.0
58,Sun - tram 9h-16h,0.35236370105610454,0.5285051187915447,0.7122640746551083,0.8159337549125844,0.8936941016642137,0.9362132263751193,0.9640471608093028,0.9812391842279763,0.9924148081059663,1.0
59,Sun - tram 16-21h,0.33572349867739326,0.5076405133025819,0.6855475154668473,0.7933891524386245,0.872811140502372,0.9207091795465973,0.9519926546138207,0.9746190673982904,0.9892661172201211,1.0
60,Sun - zug 6h-9h,0.4345527045769764,0.6200589459084604,0.7744452149791956,0.8658980582524272,0.9220700416088765,0.9537968099861304,0.9724341192787794,0.9857836338418863,0.9940187239944521,1.0
61,Sun - zug 9h-16h,0.42066855858180074,0.595068735488151,0.7469502082335164,0.8464600302215015,0.9082298308333027,0.9444587771348543,0.967382891681716,0.982161943021413,0.9929606014815907,1.0
62,Sun - zug 16-21h,0.38359968561697666,0.5587110296044013,0.7131778883940267,0.8178150379879486,0.8883416295520042,0.9292114225831805,0.9565103484411842,0.9775216138328531,0.9910400838354729,1.0
